id,holc_grade,holc_id,city,ndvi
AL_Birmingham_A1_A_1,A,A1,Birmingham,0.5564536992703337
AL_Birmingham_A2_A_2,A,A2,Birmingham,0.5260144909732537
AL_Birmingham_A3_A_3,A,A3,Birmingham,0.5068635943209961
AL_Birmingham_B1_B_4,B,B1,Birmingham,0.48312825147395705
AL_Birmingham_B10_B_5,B,B10,Birmingham,0.4593131934201838
AL_Birmingham_B11_B_6,B,B11,Birmingham,0.44397877705897026
AL_Birmingham_B12_B_7,B,B12,Birmingham,0.4390720069785291
AL_Birmingham_B13_B_8,B,B13,Birmingham,0.5049327800518062
AL_Birmingham_B14_B_9,B,B14,Birmingham,0.5280111629657349
AL_Birmingham_B15_B_10,B,B15,Birmingham,0.45725623751984035
AL_Birmingham_B16_B_11,B,B16,Birmingham,0.3800558170055306
AL_Birmingham_B2_B_12,B,B2,Birmingham,0.5044185940987742
AL_Birmingham_B3_B_13,B,B3,Birmingham,0.49512074985414295
AL_Birmingham_B4_B_14,B,B4,Birmingham,0.5167517465230305
AL_Birmingham_B5_B_15,B,B5,Birmingham,0.4077267387696272
AL_Birmingham_B6_B_16,B,B6,Birmingham,0.45096233411412356
AL_Birmingham_B7_B_17,B,B7,Birmingham,0.46115616207032006
AL_Birmingham_B8_B_18,B,B8,Birmingham,0.4398220417296042
AL_Birmingham_B9_B_19,B,B9,Birmingham,0.4997523020795334
AL_Birmingham_C1_C_20,C,C1,Birmingham,0.41465798278926375
AL_Birmingham_C1_C_21,C,C1,Birmingham,0.47535733526320956
AL_Birmingham_C1_C_22,C,C1,Birmingham,0.4442238799911858
AL_Birmingham_C10_C_23,C,C10,Birmingham,0.4566880266892805
AL_Birmingham_C11_C_24,C,C11,Birmingham,0.37588902876442476
AL_Birmingham_C12_C_25,C,C12,Birmingham,0.5174708822311621
AL_Birmingham_C13_C_26,C,C13,Birmingham,0.3361590427408285
AL_Birmingham_C14_C_27,C,C14,Birmingham,0.4293576754445157
AL_Birmingham_C15_C_28,C,C15,Birmingham,0.42337591665330204
AL_Birmingham_C16_C_29,C,C16,Birmingham,0.3867623980469491
AL_Birmingham_C16_C_30,C,C16,Birmingham,0.39586735223630837
AL_Birmingham_C17_C_31,C,C17,Birmingham,0.3921497765130941
AL_Birmingham_C18_C_32,C,C18,Birmingham,0.39927564994011244
AL_Birmingham_C19_C_33,C,C19,Birmingham,0.4523018282603735
AL_Birmingham_C2_C_34,C,C2,Birmingham,0.39698238780843004
AL_Birmingham_C20_C_35,C,C20,Birmingham,0.49180101134239124
AL_Birmingham_C3_C_36,C,C3,Birmingham,0.4755977492307632
AL_Birmingham_C4_C_37,C,C4,Birmingham,0.4487969358072727
AL_Birmingham_C5_C_38,C,C5,Birmingham,0.4340234866537302
AL_Birmingham_C6_C_39,C,C6,Birmingham,0.45542637248856577
AL_Birmingham_C7_C_40,C,C7,Birmingham,0.44299677596226406
AL_Birmingham_C8_C_41,C,C8,Birmingham,0.45533097952754137
AL_Birmingham_C9_C_42,C,C9,Birmingham,0.3098110263340113
AL_Birmingham_D1_D_43,D,D1,Birmingham,0.3899832508593251
AL_Birmingham_D10_D_44,D,D10,Birmingham,0.44855020250731825
AL_Birmingham_D11_D_45,D,D11,Birmingham,0.453325508878022
AL_Birmingham_D12_D_46,D,D12,Birmingham,0.5380005496744449
AL_Birmingham_D13_D_47,D,D13,Birmingham,0.5599904959073405
AL_Birmingham_D14_D_48,D,D14,Birmingham,0.5042631862861063
AL_Birmingham_D15_D_49,D,D15,Birmingham,0.5369785924939652
AL_Birmingham_D16_D_50,D,D16,Birmingham,0.5490110303849376
AL_Birmingham_D16_D_51,D,D16,Birmingham,0.5335537833826377
AL_Birmingham_D16_D_52,D,D16,Birmingham,0.5349931841214719
AL_Birmingham_D16_D_53,D,D16,Birmingham,0.5794007462715086
AL_Birmingham_D17_D_54,D,D17,Birmingham,0.5236326174083481
AL_Birmingham_D18_D_55,D,D18,Birmingham,0.5348608827235551
AL_Birmingham_D19_D_56,D,D19,Birmingham,0.5585820855593897
AL_Birmingham_D19_D_57,D,D19,Birmingham,0.5471784678512911
AL_Birmingham_D2_D_58,D,D2,Birmingham,0.43309448733658124
AL_Birmingham_D20_D_59,D,D20,Birmingham,0.5380368568946184
AL_Birmingham_D20_D_60,D,D20,Birmingham,0.57814301005037
AL_Birmingham_D21_D_61,D,D21,Birmingham,0.5096287356536908
AL_Birmingham_D3_D_62,D,D3,Birmingham,0.413487922649719
AL_Birmingham_D3_D_63,D,D3,Birmingham,0.4355785982469022
AL_Birmingham_D4_D_64,D,D4,Birmingham,0.3742018497334107
AL_Birmingham_D5_D_65,D,D5,Birmingham,0.21542776590756404
AL_Birmingham_D5_D_66,D,D5,Birmingham,0.26117380649255606
AL_Birmingham_D6_D_67,D,D6,Birmingham,0.4443251736797692
AL_Birmingham_D7_D_68,D,D7,Birmingham,0.3395554815177772
AL_Birmingham_D8_D_69,D,D8,Birmingham,0.3899605537769145
AL_Birmingham_D9_D_70,D,D9,Birmingham,0.39679352622589925
AL_Mobile_A1_A_71,A,A1,Mobile,0.5196443490533111
AL_Mobile_A2_A_72,A,A2,Mobile,0.6265318406714357
AL_Mobile_A3_A_73,A,A3,Mobile,0.4750357234171998
AL_Mobile_A4_A_74,A,A4,Mobile,0.5132360160790395
AL_Mobile_A5_A_75,A,A5,Mobile,0.49991774291322166
AL_Mobile_A6_A_76,A,A6,Mobile,0.5395996156658829
AL_Mobile_B1_B_77,B,B1,Mobile,0.5515451066622232
AL_Mobile_B2_B_78,B,B2,Mobile,0.5292029187809004
AL_Mobile_B3_B_79,B,B3,Mobile,0.5110052389985208
AL_Mobile_B4_B_80,B,B4,Mobile,0.5242383731779227
AL_Mobile_B5_B_81,B,B5,Mobile,0.49304503427889157
AL_Mobile_B6_B_82,B,B6,Mobile,0.5556917552860495
AL_Mobile_B6_B_83,B,B6,Mobile,0.6017103116367312
AL_Mobile_B7_B_84,B,B7,Mobile,0.5027815344975152
AL_Mobile_B8_B_85,B,B8,Mobile,0.5501036340234295
AL_Mobile_C1_C_86,C,C1,Mobile,0.4884069773762038
AL_Mobile_C2_C_87,C,C2,Mobile,0.46871318865808315
AL_Mobile_C3_C_88,C,C3,Mobile,0.46893721740654953
AL_Mobile_C4_C_89,C,C4,Mobile,0.5085893122286784
AL_Mobile_C5_C_90,C,C5,Mobile,0.5313363089788842
AL_Mobile_C6_C_91,C,C6,Mobile,0.4900130395340262
AL_Mobile_C7_C_92,C,C7,Mobile,0.5302342312710697
AL_Mobile_C7_C_93,C,C7,Mobile,0.46178790287956517
AL_Mobile_C7_C_94,C,C7,Mobile,0.47261697199341757
AL_Mobile_D1_D_95,D,D1,Mobile,0.5011810356096903
AL_Mobile_D2_D_96,D,D2,Mobile,0.5085111017916293
AL_Mobile_D2_D_97,D,D2,Mobile,0.4768790922222691
AL_Mobile_D2_D_98,D,D2,Mobile,0.5012116321331667
AL_Mobile_D2_D_99,D,D2,Mobile,0.4171908437960319
AL_Mobile_D3_D_100,D,D3,Mobile,0.5197696899474896
AL_Mobile_D4_D_101,D,D4,Mobile,0.49728165047779005
AL_Mobile_D5_D_102,D,D5,Mobile,0.3988826375870251
AL_Mobile_D6_D_103,D,D6,Mobile,0.39513421449963465
AL_Mobile_D6_D_104,D,D6,Mobile,0.46149742169046515
AL_Mobile_D6_D_105,D,D6,Mobile,0.2701725747300568
AL_Mobile_D6_D_106,D,D6,Mobile,0.4011594249338959
AL_Mobile_D6_D_107,D,D6,Mobile,0.312139837569967
AL_Mobile_D6_D_108,D,D6,Mobile,0.33676766190566426
AL_Mobile_D6_D_109,D,D6,Mobile,0.4572963173986053
AL_Mobile_NA_B_110,B,NA,Mobile,0.452436282210535
AL_Mobile_NA_B_111,B,NA,Mobile,0.5063390344845804
AL_Mobile_NA_B_112,B,NA,Mobile,0.477660641214193
AL_Mobile_NA_B_113,B,NA,Mobile,0.49510742514547196
AL_Mobile_NA_B_116,B,NA,Mobile,0.4113555804157454
AL_Mobile_NA_B_117,B,NA,Mobile,0.5637069718700523
AL_Mobile_NA_C_114,C,NA,Mobile,0.5031965837864665
AL_Mobile_NA_C_115,C,NA,Mobile,0.45131736954132967
AL_Montgomery_A1_A_118,A,A1,Montgomery,0.5108066044728691
AL_Montgomery_A2_A_119,A,A2,Montgomery,0.5231226941058654
AL_Montgomery_A3_A_120,A,A3,Montgomery,0.5222775244207198
AL_Montgomery_A3_A_121,A,A3,Montgomery,0.5226434982255705
AL_Montgomery_B1_B_122,B,B1,Montgomery,0.41134630807955763
AL_Montgomery_B2_B_123,B,B2,Montgomery,0.46010933520316255
AL_Montgomery_B3_B_124,B,B3,Montgomery,0.49415526175830055
AL_Montgomery_B3_B_125,B,B3,Montgomery,0.4489152800589626
AL_Montgomery_C1_C_126,C,C1,Montgomery,0.43001666719892345
AL_Montgomery_C2_C_127,C,C2,Montgomery,0.44276121074832286
AL_Montgomery_C3_C_128,C,C3,Montgomery,0.4238144622736834
AL_Montgomery_C4_C_129,C,C4,Montgomery,0.48513701770905787
