Collection_code,N_samples,id
ebird,1341,AL_Birmingham_A1_A_1
iNaturalist,6,AL_Birmingham_A1_A_1
other,104,AL_Birmingham_A1_A_1
ebird,109,AL_Birmingham_A2_A_2
other,0,AL_Birmingham_A2_A_2
iNaturalist,0,AL_Birmingham_A2_A_2
ebird,159,AL_Birmingham_A3_A_3
iNaturalist,6,AL_Birmingham_A3_A_3
other,0,AL_Birmingham_A3_A_3
ebird,2843,AL_Birmingham_B1_B_4
iNaturalist,14,AL_Birmingham_B1_B_4
other,4227,AL_Birmingham_B1_B_4
ebird,1,AL_Birmingham_B10_B_5
other,0,AL_Birmingham_B10_B_5
iNaturalist,0,AL_Birmingham_B10_B_5
iNaturalist,2,AL_Birmingham_B11_B_6
other,1,AL_Birmingham_B11_B_6
ebird,0,AL_Birmingham_B11_B_6
other,3,AL_Birmingham_B12_B_7
iNaturalist,0,AL_Birmingham_B12_B_7
ebird,0,AL_Birmingham_B12_B_7
ebird,6,AL_Birmingham_B13_B_8
iNaturalist,9,AL_Birmingham_B13_B_8
other,0,AL_Birmingham_B13_B_8
ebird,6390,AL_Birmingham_B14_B_9
iNaturalist,12,AL_Birmingham_B14_B_9
other,0,AL_Birmingham_B14_B_9
iNaturalist,5,AL_Birmingham_B16_B_11
other,0,AL_Birmingham_B16_B_11
ebird,0,AL_Birmingham_B16_B_11
ebird,4177,AL_Birmingham_B2_B_12
iNaturalist,4,AL_Birmingham_B2_B_12
other,5,AL_Birmingham_B2_B_12
iNaturalist,2,AL_Birmingham_B3_B_13
other,0,AL_Birmingham_B3_B_13
ebird,0,AL_Birmingham_B3_B_13
ebird,66,AL_Birmingham_B4_B_14
iNaturalist,1,AL_Birmingham_B4_B_14
other,0,AL_Birmingham_B4_B_14
ebird,197,AL_Birmingham_B5_B_15
other,0,AL_Birmingham_B5_B_15
iNaturalist,0,AL_Birmingham_B5_B_15
ebird,12,AL_Birmingham_B7_B_17
other,0,AL_Birmingham_B7_B_17
iNaturalist,0,AL_Birmingham_B7_B_17
ebird,181,AL_Birmingham_B9_B_19
other,0,AL_Birmingham_B9_B_19
iNaturalist,0,AL_Birmingham_B9_B_19
ebird,2,AL_Birmingham_C1_C_22
other,0,AL_Birmingham_C1_C_22
iNaturalist,0,AL_Birmingham_C1_C_22
ebird,2173,AL_Birmingham_C10_C_23
iNaturalist,11,AL_Birmingham_C10_C_23
other,44,AL_Birmingham_C10_C_23
ebird,534,AL_Birmingham_C11_C_24
iNaturalist,4,AL_Birmingham_C11_C_24
other,71,AL_Birmingham_C11_C_24
ebird,14119,AL_Birmingham_C12_C_25
iNaturalist,269,AL_Birmingham_C12_C_25
other,149,AL_Birmingham_C12_C_25
ebird,281,AL_Birmingham_C13_C_26
iNaturalist,2,AL_Birmingham_C13_C_26
other,1,AL_Birmingham_C13_C_26
ebird,3,AL_Birmingham_C14_C_27
other,0,AL_Birmingham_C14_C_27
iNaturalist,0,AL_Birmingham_C14_C_27
ebird,12,AL_Birmingham_C15_C_28
other,0,AL_Birmingham_C15_C_28
iNaturalist,0,AL_Birmingham_C15_C_28
ebird,2,AL_Birmingham_C16_C_30
other,1,AL_Birmingham_C16_C_30
iNaturalist,0,AL_Birmingham_C16_C_30
ebird,8,AL_Birmingham_C17_C_31
other,0,AL_Birmingham_C17_C_31
iNaturalist,0,AL_Birmingham_C17_C_31
ebird,21,AL_Birmingham_C18_C_32
other,0,AL_Birmingham_C18_C_32
iNaturalist,0,AL_Birmingham_C18_C_32
ebird,6,AL_Birmingham_C2_C_34
other,0,AL_Birmingham_C2_C_34
iNaturalist,0,AL_Birmingham_C2_C_34
ebird,975,AL_Birmingham_C20_C_35
other,0,AL_Birmingham_C20_C_35
iNaturalist,0,AL_Birmingham_C20_C_35
ebird,858,AL_Birmingham_C3_C_36
iNaturalist,14,AL_Birmingham_C3_C_36
other,35,AL_Birmingham_C3_C_36
ebird,122,AL_Birmingham_C6_C_39
iNaturalist,1,AL_Birmingham_C6_C_39
other,0,AL_Birmingham_C6_C_39
ebird,5,AL_Birmingham_C7_C_40
other,0,AL_Birmingham_C7_C_40
iNaturalist,0,AL_Birmingham_C7_C_40
ebird,262,AL_Birmingham_C8_C_41
other,0,AL_Birmingham_C8_C_41
iNaturalist,0,AL_Birmingham_C8_C_41
ebird,27,AL_Birmingham_C9_C_42
iNaturalist,2,AL_Birmingham_C9_C_42
other,0,AL_Birmingham_C9_C_42
ebird,215,AL_Birmingham_D1_D_43
iNaturalist,2,AL_Birmingham_D1_D_43
other,0,AL_Birmingham_D1_D_43
ebird,287,AL_Birmingham_D10_D_44
iNaturalist,2,AL_Birmingham_D10_D_44
other,0,AL_Birmingham_D10_D_44
ebird,2,AL_Birmingham_D11_D_45
other,0,AL_Birmingham_D11_D_45
iNaturalist,0,AL_Birmingham_D11_D_45
other,0,AL_Birmingham_D12_D_46
iNaturalist,0,AL_Birmingham_D12_D_46
ebird,0,AL_Birmingham_D12_D_46
ebird,2482,AL_Birmingham_D14_D_48
iNaturalist,4,AL_Birmingham_D14_D_48
other,0,AL_Birmingham_D14_D_48
iNaturalist,3,AL_Birmingham_D15_D_49
other,1,AL_Birmingham_D15_D_49
ebird,0,AL_Birmingham_D15_D_49
ebird,1,AL_Birmingham_D16_D_50
other,0,AL_Birmingham_D16_D_50
iNaturalist,0,AL_Birmingham_D16_D_50
iNaturalist,1,AL_Birmingham_D16_D_52
other,0,AL_Birmingham_D16_D_52
ebird,0,AL_Birmingham_D16_D_52
iNaturalist,1,AL_Birmingham_D16_D_53
other,0,AL_Birmingham_D16_D_53
ebird,0,AL_Birmingham_D16_D_53
ebird,13,AL_Birmingham_D17_D_54
other,0,AL_Birmingham_D17_D_54
iNaturalist,0,AL_Birmingham_D17_D_54
other,0,AL_Birmingham_D19_D_57
iNaturalist,0,AL_Birmingham_D19_D_57
ebird,0,AL_Birmingham_D19_D_57
ebird,241,AL_Birmingham_D2_D_58
iNaturalist,6,AL_Birmingham_D2_D_58
other,3,AL_Birmingham_D2_D_58
other,0,AL_Birmingham_D20_D_59
iNaturalist,0,AL_Birmingham_D20_D_59
ebird,0,AL_Birmingham_D20_D_59
iNaturalist,1,AL_Birmingham_D20_D_60
other,0,AL_Birmingham_D20_D_60
ebird,0,AL_Birmingham_D20_D_60
ebird,1,AL_Birmingham_D3_D_62
other,2,AL_Birmingham_D3_D_62
