holc_grade,id,N_samples,City,City_state
A,AL_Birmingham_A1_A_1,1909,Birmingham,"Birmingham, AL"
A,AL_Birmingham_A2_A_2,130,Birmingham,"Birmingham, AL"
A,AL_Birmingham_A3_A_3,190,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B1_B_4,8135,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B10_B_5,1,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B11_B_6,3,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B12_B_7,3,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B13_B_8,24,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B14_B_9,6854,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B16_B_11,6,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B2_B_12,8445,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B3_B_13,143,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B4_B_14,92,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B5_B_15,590,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B7_B_17,12,Birmingham,"Birmingham, AL"
B,AL_Birmingham_B9_B_19,192,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C1_C_22,2,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C10_C_23,2986,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C11_C_24,735,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C12_C_25,22804,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C13_C_26,464,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C14_C_27,3,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C15_C_28,12,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C16_C_30,3,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C17_C_31,10,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C18_C_32,21,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C2_C_34,6,Birmingham,"Birmingham, AL"
C,AL_Birmingham_C20_C_35,1194,Birmingham,"Birmingham, AL"
